period,Net Foreign Assets,M1 Money Supply,M3 Money Supply,Claims on the Private Sector,Consumer Price Index,Retail Sales - Total,Net Gold & Forex Reserve,Motor Trade Sales at Current Prices s.a.,PMI Manufacturing,Electricity Consumption (YoY),Sales of Accessories - Income_x,Convenient Store Sales - Income,Fuel Sales - Income,Sales of Accessories - Income_y,New Vehicle Sales,Used Vehicle Sales,Workshop Income,Real GDP at Market Prices
2013-09-30,16308.666666666666,1114803.3333333333,2496655.3333333335,15505.666666666666,83.66666666666667,61156.666666666664,45.50666666666667,48979.0,52.9,1.4666666666666668,6890.333333333333,1745.6666666666667,16506.0,6890.333333333333,13649.0,7630.666666666667,3399.3333333333335,745650.8
2013-12-31,-1297.3333333333333,1130195.3333333333,2517478.6666666665,11650.0,84.33333333333333,73199.66666666667,45.56,48646.666666666664,51.0,0.26666666666666666,6824.666666666667,1904.0,16793.666666666668,6824.666666666667,12762.333333333334,7820.333333333333,3385.6666666666665,766855.5
2014-03-31,-1085.0,1153749.6666666667,2541781.0,32146.0,86.10000000000001,62115.666666666664,45.1,49413.0,50.63333333333333,1.9000000000000001,7001.0,1807.0,16106.666666666666,7001.0,13141.333333333334,7183.0,3444.0,732211.0
2014-06-30,-481.3333333333333,1191129.6666666667,2624939.6666666665,12360.333333333334,87.76666666666667,64616.333333333336,44.73333333333333,49887.333333333336,46.1,-1.2,6981.666666666667,1812.3333333333333,16641.0,6981.666666666667,12488.333333333334,7493.333333333333,3500.0,755842.5
2014-09-30,-1815.6666666666667,1241049.3333333333,2669521.3333333335,17300.333333333332,88.89999999999999,66080.66666666667,43.96333333333333,50965.0,48.56666666666666,-2.1666666666666665,7427.333333333333,1873.3333333333333,17239.333333333332,7427.333333333333,13711.666666666666,7946.666666666667,3729.3333333333335,759757.5
2014-12-31,-9199.0,1255481.6666666667,2714392.6666666665,11438.333333333334,89.13333333333333,78790.66666666667,42.92333333333334,50485.666666666664,51.199999999999996,-1.1333333333333335,7348.333333333333,2086.3333333333335,17041.0,7348.333333333333,13386.0,7920.0,3502.6666666666665,780278.7
2015-03-31,5277.0,1266486.0,2732659.0,36461.666666666664,89.66666666666667,66850.66666666667,41.78333333333333,49912.666666666664,49.9,-0.16666666666666666,7870.333333333333,1973.3333333333333,14138.333333333334,7870.333333333333,13689.666666666666,8027.666666666667,3569.0,750791.7
2015-06-30,26140.333333333332,1306462.6666666667,2844675.3333333335,7802.0,91.76666666666667,69388.66666666667,41.68,49792.0,49.199999999999996,-2.1333333333333333,8098.666666666667,1738.3333333333333,13931.0,8098.666666666667,13375.333333333334,8192.666666666666,3434.3333333333335,764216.8
2015-09-30,16024.0,1346924.6666666667,2923399.3333333335,21693.666666666668,93.09999999999998,70859.33333333333,41.13233333333333,50748.666666666664,50.06666666666666,-3.5666666666666664,8423.666666666666,1781.0,14302.333333333334,8423.666666666666,14445.333333333334,8948.0,3630.3333333333335,765471.1
2015-12-31,15987.666666666666,1409718.3333333333,2981752.0,29256.0,93.46666666666665,85113.0,40.81,49898.666666666664,45.63333333333333,-2.1999999999999997,8439.333333333334,1944.6666666666667,13949.0,8439.333333333334,14355.333333333334,8607.333333333334,3640.0,783757.5
2016-03-31,-8225.666666666666,1450551.6666666667,2969477.3333333335,26258.0,95.5,72497.0,40.96333333333333,50048.0,47.03333333333333,-2.8333333333333335,8550.0,1855.3333333333333,12652.666666666666,8550.0,13431.333333333334,9097.0,3569.0,747421.3
2016-06-30,2529.6666666666665,1441176.0,3024862.3333333335,-6339.333333333333,97.5,75186.0,40.82333333333333,51799.0,53.5,-1.4666666666666668,9191.0,1813.6666666666667,13395.333333333334,9191.0,13413.0,9529.333333333334,3765.0,768075.5
2016-09-30,-24509.0,1462138.3333333333,3074763.0,22811.666666666668,98.7,76362.33333333333,41.21666666666667,51137.666666666664,49.1,0.10000000000000002,9104.333333333334,1882.6666666666667,14009.0,9104.333333333334,13458.666666666666,9709.0,3813.6666666666665,770486.4
2016-12-31,3542.3333333333335,1578434.6666666667,3155092.6666666665,9900.0,99.63333333333333,91726.66666666667,41.23,51223.0,46.96666666666667,-0.39999999999999997,8843.0,1976.0,14422.333333333334,8843.0,13657.666666666666,9518.0,3722.6666666666665,790482.0
2017-03-31,-12954.333333333334,1595187.3333333333,3167442.0,26244.333333333332,101.53333333333335,76538.66666666667,41.43333333333333,52925.333333333336,51.86666666666667,-0.5,8839.0,1850.6666666666667,13874.0,8839.0,14344.0,9731.666666666666,3690.3333333333335,755994.1
2017-06-30,9837.666666666666,1588844.0,3201092.6666666665,5755.0,102.66666666666667,80381.66666666667,41.99666666666667,52229.333333333336,47.63333333333333,1.7,8764.0,1878.3333333333333,14065.0,8764.0,13413.0,9345.333333333334,3671.6666666666665,780324.5
2017-09-30,22698.666666666668,1639323.3333333333,3290022.0,17180.0,103.43333333333334,82494.66666666667,42.57,52665.0,43.93333333333334,0.13333333333333333,9043.333333333334,1915.0,14399.0,9043.333333333334,14080.666666666666,10036.0,3738.3333333333335,782485.6
2017-12-31,-20016.333333333332,1682688.0,3344880.6666666665,23581.0,104.33333333333333,99132.66666666667,42.70333333333334,55301.0,47.1,0.6333333333333333,9103.0,2125.0,15891.333333333334,9103.0,14975.666666666666,10199.0,3812.6666666666665,801180.1
2018-03-31,-6848.333333333333,1667507.6666666667,3369524.3333333335,19973.0,105.66666666666667,81517.0,43.413333333333334,55704.666666666664,49.199999999999996,0.5,9007.0,1992.0,14964.0,9007.0,15211.333333333334,10112.666666666666,3620.3333333333335,761397.1
2018-06-30,24215.333333333332,1651231.0,3391868.3333333335,2569.0,107.26666666666667,83423.33333333333,42.81333333333333,54426.333333333336,49.53333333333333,0.03333333333333335,8884.0,1967.6666666666667,15844.666666666666,8884.0,13496.333333333334,9768.333333333334,3693.3333333333335,781144.1
2018-09-30,21975.0,1725539.6666666667,3508983.0,25039.333333333332,108.60000000000001,85282.0,42.35666666666666,55805.0,46.46666666666667,1.1333333333333335,9044.0,2029.0,17613.333333333332,9044.0,13981.333333333334,9802.0,3677.0,792362.6
