"","","","Indicator Code","Indicator Name","Indicator Type","Indicator Subtype","Region","Country","City","Indicator Currency","Indicator Frequency","Source","Source link","Secondary link","Unit","Value Type","Relevence"
"","","","SAFZAXX02Ma150","Manufacturing Production Index - Furniture and Other Manufacturing Division","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma149","Manufacturing Production Index - Motor Vehicles, Parts and Accessories and Other Transport Equipment","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma148","Manufacturing Production Index - Radio, Television and Communication Apparatus and Professional Equipment","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma147","Manufacturing Production Index - Electrical Machinery","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma146","Manufacturing Production Index - Basic Iron and Steel, Non-Ferrous Metal Products, Metal Products and Machinery","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma145","Manufacturing Production Index - Glass and Non-Metallic Mineral Products","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma144","Manufacturing Production Index - Petroleum, Chemical Products, Rubber and Plastic Products","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma143","Manufacturing Production Index - Wood and Wood Products, Paper, Publishing and Printing","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma142","Manufacturing Production Index - Textiles, Clothing, Leather and Footwear","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma141","Manufacturing Production Index - Food and Beverages","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma130","Total Manufacturing Index","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma129","Total Manufacturing Index s.a.","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","-","Number","L"
"","","","SAFZAXX02Ma128","Manufacturing Sales s.a.","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","STATS SA","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P3041.2&SCH=72793","K","Currency","L"
"","","","SAFZAXX02Ma127","Motor Trade Sales at Current Prices s.a.","Economic","Production and Business Activity","Southern Africa","South Africa","","ZAR","Monthly","Statistics South Africa","http://www.statssa.gov.za","http://www.statssa.gov.za/?page_id=1866&PPN=P6343.2&SCH=72688","mn","Currency","L"
"","","","SAFZAXX02Da006","Google Mobility - Residential Areas","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Daily","Google","https://www.google.co.in/","https://www.google.com/covid19/mobility/","%","%","L"
"","","","SAFZAXX02Da005","Google Mobility - Workplaces","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Daily","Google","https://www.google.co.in/","https://www.google.com/covid19/mobility/","%","%","L"
"","","","SAFZAXX02Da004","Google Mobility - Transit Stations","Economic","Production and Business Activity","Southern Africa","South Africa","","-","Daily","Google","https://www.google.co.in/","https://www.google.com/covid19/mobility/","%","%","L"
